2018-04-15 17:38:31.274 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-04-15 20:55:20.863 [main] INFO  o.s.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@64d2d351: startup date [Sun Apr 15 20:55:20 CST 2018]; root of context hierarchy
2018-04-15 20:55:21.258 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-04-15 20:55:27.268 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2018-04-15 20:55:28.467 [Thread-1] INFO  o.s.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@64d2d351: startup date [Sun Apr 15 20:55:20 CST 2018]; root of context hierarchy
2018-04-15 20:55:28.475 [Thread-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2018-04-15 20:56:46.772 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-04-15 20:56:46.803 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1efee8e7, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1ee807c6, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@76a4d6c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@517cd4b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6cc7b4de, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@32cf48b7]
2018-04-15 20:56:46.943 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-mybatis.xml]
2018-04-15 20:56:47.483 [main] INFO  o.s.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@64d2d351: startup date [Sun Apr 15 20:56:47 CST 2018]; root of context hierarchy
2018-04-15 20:56:47.940 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-04-15 20:56:54.957 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2018-04-15 20:56:56.672 [Thread-1] INFO  o.s.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@64d2d351: startup date [Sun Apr 15 20:56:47 CST 2018]; root of context hierarchy
2018-04-15 20:56:56.681 [Thread-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2018-04-15 20:57:51.731 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-04-15 20:57:51.773 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1efee8e7, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1ee807c6, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@76a4d6c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@517cd4b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6cc7b4de, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@32cf48b7]
2018-04-15 20:57:51.893 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-mybatis.xml]
2018-04-15 20:57:52.414 [main] INFO  o.s.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@64d2d351: startup date [Sun Apr 15 20:57:52 CST 2018]; root of context hierarchy
2018-04-15 20:57:52.848 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-04-15 20:57:59.282 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2018-04-15 20:58:03.170 [Thread-1] INFO  o.s.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@64d2d351: startup date [Sun Apr 15 20:57:52 CST 2018]; root of context hierarchy
2018-04-15 20:58:03.181 [Thread-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2018-04-15 20:58:53.840 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-04-15 20:58:53.899 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1b6e1eff, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@306f16f3, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@702b8b12, org.springframework.test.context.support.DirtiesContextTestExecutionListener@22e357dc, org.springframework.test.context.transaction.TransactionalTestExecutionListener@49912c99, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@10163d6]
2018-04-15 20:58:54.048 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-mybatis.xml]
2018-04-15 20:58:54.586 [main] INFO  o.s.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@437da279: startup date [Sun Apr 15 20:58:54 CST 2018]; root of context hierarchy
2018-04-15 20:58:54.850 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-04-15 20:59:00.722 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2018-04-15 20:59:04.411 [Thread-1] INFO  o.s.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@437da279: startup date [Sun Apr 15 20:58:54 CST 2018]; root of context hierarchy
2018-04-15 20:59:04.419 [Thread-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
